GAL,uniprot,gene,Megakaryocyte,Dendritic cell,NK cell,Monocyte,NK T cell,T cell CD4,T cell CD8,B cell
 ,,RP11.34P13.7,0,0,0,0,0,0,0,0
 ,,RP11.34P13.14,0,0,0,0,0,0,0,0
 ,,FO538757.3,0,0,0,0,0,0,0,0
 ,,FO538757.2,0,99999,0,0,0,0,0,0
 ,,AP006222.2,0,0,0,0,0,0,0,0
 ,,RP5.857K21.15,0,0,0,0,0,0,0,0
 ,,RP4.669L17.10,0,0,0,0,0,0,0,0
 ,,RP5.857K21.4,0,0,0,0,0,0,0,0
 ,,RP11.206L10.9,0,0,0,0,0,0,0,0
 ,,FAM87B,0,0,0,0,0,0,0,0
 ,,LINC00115,0,0,0,0,0,0,0,0
 ,,FAM41C,0,0,0,0,0,0,0,0
 ,,RP11.54O7.16,0,0,0,0,0,0,0,0
 ,Q9Y3T9,NOC2L,0,0,0,0,0,0,0,0
KLHL17,Q6TDP4,KLHL17,0,0,0,0,0,0,0,0
PLEKHN1,Q494U1,PLEKHN1,0,0,0,0,0,0,0,0
 ,,RP11.54O7.17,0,0,0,0,0,0,0,0
HES4,Q9HCC6,HES4,0,0,0,0,0,0,0,0
ISG15,P05161,ISG15,0,0,0,0,0,0,0,0
 ,,RP11.54O7.11,0,0,0,0,0,0,0,0
 ,O00468,AGRN,0,0,0,0,0,0,0,0
 ,,RP11.54O7.18,0,0,0,0,0,0,0,0
C1orf159,Q96HA4,C1orf159,0,0,0,0,0,0,0,0
 ,,LINC01342,0,0,0,0,0,0,0,0
TTLL10,Q6ZVT0,TTLL10,0,0,0,0,0,0,0,0
TNFRSF18,Q9Y5U5,TNFRSF18,0,0,0,0,0,0,0,0
 ,P43489,TNFRSF4,0,0,0,0,0,0,0,0
 ,Q9BRK5,SDF4,0,99999,0,0,0,0,0,0
B3GALT6,Q96L58,B3GALT6,0,0,0,0,0,0,0,0
FAM132A,,FAM132A,0,0,0,0,0,0,0,0
 ,,RP5.902P8.12,0,0,0,0,0,0,0,0
UBE2J2,Q8N2K1,UBE2J2,0,0,0,0,0,0,0,0
SCNN1D,P51172,SCNN1D,0,0,0,0,0,0,0,0
 ,Q96P50,ACAP3,0,0,0,0,0,0,0,0
PUSL1,Q8N0Z8,PUSL1,0,0,0,0,0,0,0,0
CPSF3L,,CPSF3L,0,0,0,0,0,0,0,0
 ,Q5TA50,CPTP,0,0,0,0,0,0,0,0
TAS1R3,Q7RTX0,TAS1R3,0,0,0,0,0,0,0,0
DVL1,O14640,DVL1,0,0,0,0,0,0,0,0
MXRA8,Q9BRK3,MXRA8,0,0,0,0,0,0,0,0
AURKAIP1,Q9NWT8,AURKAIP1,0,99999,0,0,0,0,0,0
CCNL2,Q96S94,CCNL2,0,0,0,0,0,0,0,0
MRPL20,Q9BYC9,MRPL20,0,99999,0,0,0,0,0,0
 ,,RP4.758J18.13,0,0,0,0,0,0,0,0
ANKRD65,E5RJM6,ANKRD65,0,0,0,0,0,0,0,0
 ,,RP4.758J18.7,0,0,0,0,0,0,0,0
 ,Q5T2N8,ATAD3C,0,0,0,0,0,0,0,0
ATAD3B,Q5T9A4,ATAD3B,0,0,0,0,0,0,0,0
ATAD3A,Q9NVI7,ATAD3A,0,0,0,0,0,0,0,0
SSU72,Q9NP77,SSU72,0,99999,0,0,0,0,0,0
 ,,RP5.832C2.5,0,0,0,0,0,0,0,0
 ,,C1orf233,0,0,0,0,0,0,0,0
 ,,RP11.345P4.9,0,0,0,0,0,0,0,0
MIB2,Q96AX9,MIB2,0,0,0,0,0,0,0,0
 ,O75900,MMP23B,0,0,0,0,0,0,0,0
CDK11B,P21127,CDK11B,0,0,0,0,0,0,0,0
 ,,RP11.345P4.10,0,0,0,0,0,0,0,0
 ,P0CK96,SLC35E2B,0,0,0,0,0,0,0,0
 ,,RP11.345P4.7,0,0,0,0,0,0,0,0
 ,Q9UQ88,CDK11A,0,0,0,0,0,0,0,0
SLC35E2,,SLC35E2,0,0,0,0,0,0,0,0
NADK,O95544,NADK,0,0,0,0,0,0,0,0
GNB1,P62873,GNB1,0,99999,0,0,0,0,0,0
 ,,RP1.140A9.1,0,0,0,0,0,0,0,0
CALML6,Q8TD86,CALML6,0,0,0,0,0,0,0,0
TMEM52,Q8NDY8,TMEM52,0,0,0,0,0,0,0,0
 ,Q9C0B2,CFAP74,0,0,0,0,0,0,0,0
PRKCZ,Q05513,PRKCZ,0,0,0,0,0,0,0,0
 ,,RP5.892K4.1,0,0,0,0,0,0,0,0
 ,,RP11.181G12.2,0,0,0,0,0,0,0,0
