Cell Type,Organ,Organelle,Processes
absorptive cell,adrenal gland,acrosome,activation of g(i) alpha proteins
acinar cell,anus,autophagosome,adaptor protein
adipocyte,appendix,cell membrane,adipogenesis
adventitial cell,arteries,centriole,androgen receptor coregulator
alveolar cell,blood,centrosome,angiogenesis
amacrine cell,blood vessels,cilium,apoptosis
antigen presenting cell,bone marrow,cytoskeleton,ATP-dependent ligation
astrocyte,bones,cytosol,auxiliary protein
atrioventricular bundle cell,brain,endoplasmic reticulum,bace1 phosphorylation
B cell,breast,flagellum,bace1 transporter
basal cell,bronchi,golgi apparatus,bile acid synthesis
basket cell,capillaries,lysosome,binder protein 
basophil,cartilage,melanosome,biosynthesis
bipolar cell,cervix,mitochondrion,centromere formation
bladder cell,epididymis,myofibril,ciliogenesis
blood cell,esophagus,nucleolus,clathrin-mediated endocytosis
bone marrow cell,eye,nucleus,corepressor
brain vascular cell,fallopian tube,peroxisome,dimethylation
bronchial cell,gall bladder,porosome,endocytosis
brown fat cell,hair,proteasome,endosomal sorting 
brush cell,heart,ribosome,gtpase activating protein (gap)  
cajal-retzius cell,intestine,rough endoplasmic reticulum,helicase 
cardiac cell,joints,smooth endoplasmic reticulum,heme synthesis
cardiomyocyte,kidneys,stress granule,homeostasis
centroblast,large intestine,TIGER domain,inflammation
centrocyte,larynx,vacuole,intracellular signal transduction
cerebellar cell,ligaments,vesicle,intracellular vesicle-mediated transport
cholangiocyte,liver,,kinesin
chondrocyte,lungs,,kinetochore assembly
chromaffin cell,lymph nodes,,male fertility
ciliary muscle cell,lymphatic vessels,,meiotic recombination factor
ciliated cell,mammary glands,,membrane binding
club cell,mouth,,metabolism
collecting duct cell,nails,,metal ion binding
colon cell,nasal passage,,metal transporter
cone cell,nerves,,mitochondrial sheath formation
connective tissue cell,nose,,morphogenesis
contractile cell,ovaries,,neuroinflammation
cortex artery cell,pancreas,,neutrophilic inflammation
cortex tubule cell,parathyroid gland,,nuclear receptor coactivator
cortical cell,peripheral nerves,,nucleo-cytoplasmic transport
decidual cell,pharynx,,organelle transporter
dendritic cell,pineal gland,,polyadenylation
ectodermal cell,pituitary gland,,polymerase
endocardial cell,placenta,,pre-mrna splicing
endocrine cell,prostate gland,,proteasomal degradation
endoderm cell,rectum,,protein synthesis
endosteal cell,seminal vesicles,,putative polycomb group (pcg) protein
endothelial cell,skeletal muscles,,rab11 effector protein
enterocyte,skin,,rna binder
enteroendocrine cell,small intestine,,signal transduction
eosinophil,spinal cord,,spermatogenesis
ependymal cell,spleen,,spermiogenesis
epidermal cell,stomach,,sulfotransferase 
epithelial cell,tendons,,transcription
erythroblast,testes,,transcription activator
