GAL,Uniprot,Annotation
CD1A,P06126,t cell*b cell*dendritic cell*macrophage*monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*erythroid cell*kupffer*nk cell*cell*granulocyte*t cells
CD1B,P29016,t cell*b cell*dendritic cell*macrophage*monocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*erythroid cell*kupffer*nk cell*cell*granulocyte*t cells
CD1C,P29017,t cell*b cell*dendritic cell*macrophage*monocyte*megakaryocyte*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*erythroid cell*kupffer*nk cell*cell*granulocyte*t cells
CD1D,P15813,t cell*b cell*dendritic cell*epithelial cell*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
CD1E,P15812,dendritic cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*b cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CR2,P20023,dendritic cell*t cell*b cell*dendritic cell*stem cell*precursor*epithelial cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CD2,P06729,t cell*b cell*nk cell*nk t cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CD3D,P04234,t cell*nk t cell*t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CD3E,P07766,t cell*dendritic cell*nk t cell*t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CD3G,P09693,t cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CD4,P01730,t cell*macrophage*monocyte*granulocyte*megakaryocyte*parathyroid*pituitary*adipose
CD5,P06127,t cell*b cell*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CD6,P30203,t cell*b cell*t cell cd4*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CD7,P09564,t cell*nk cell*stem cell*precursor*dendritic cell*nk t cell*t cell cd4*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CD8A,P01732,t cell*nk cell*nk t cell*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
CD8B,P10966,t cell*t cell cd8*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
